,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2011-05-02,5.519999980926514,5.559999942779541,5.4120001792907715,5.489999771118164,5.489999771118164,3923000,TSLA,-2.4037864,5.363999843597412,0.0,7.893786191940308
2011-05-04,5.355999946594238,5.400000095367432,5.150000095367432,5.3379998207092285,5.3379998207092285,5222500,TSLA,-2.3037288,5.796000003814697,-7.641728639602661,0.0
2011-05-05,5.440000057220459,5.48799991607666,5.234000205993652,5.288000106811523,5.288000106811523,6092500,TSLA,-2.251507,5.895999908447266,-7.539507150650024,0.0
2011-05-12,5.414000034332275,5.547999858856201,5.329999923706055,5.533999919891357,5.533999919891357,3140000,TSLA,-2.0340712,6.026000022888184,-7.568071126937866,0.0
2011-05-16,5.5980000495910645,5.5980000495910645,5.309999942779541,5.320000171661377,5.320000171661377,3778500,TSLA,-2.0419416,5.673999786376953,-7.361941814422607,0.0
2011-05-17,5.400000095367432,5.400000095367432,5.144000053405762,5.191999912261963,5.191999912261963,6171000,TSLA,-2.0223556,5.423999786376953,-7.21435546875,0.0
2011-05-23,5.52400016784668,5.52400016784668,5.323999881744385,5.363999843597412,5.363999843597412,4318000,TSLA,-1.9627223,5.71999979019165,-7.326722145080566,0.0
2011-06-03,5.989999771118164,6.300000190734863,5.900000095367432,6.026000022888184,6.026000022888184,31046000,TSLA,-1.981561,5.513999938964844,0.0,8.007560968399048
2011-06-15,5.688000202178955,5.690000057220459,5.414000034332275,5.464000225067139,5.464000225067139,6725000,TSLA,-3.1233194,5.946000099182129,-8.587319612503052,0.0
2011-06-17,5.374000072479248,5.539999961853027,5.228000164031982,5.300000190734863,5.300000190734863,8570000,TSLA,-3.0459127,5.670000076293945,-8.34591293334961,0.0
2011-06-21,5.248000144958496,5.546000003814697,5.199999809265137,5.50600004196167,5.50600004196167,7480000,TSLA,-3.0819297,5.728000164031982,-8.587929725646973,0.0
2011-06-22,5.473999977111816,5.650000095367432,5.420000076293945,5.441999912261963,5.441999912261963,7378000,TSLA,-3.041658,5.521999835968018,-8.483657836914062,0.0
2011-06-23,5.440000057220459,5.544000148773193,5.242000102996826,5.541999816894531,5.541999816894531,5850000,TSLA,-3.0106843,5.515999794006348,0.0,8.55268406867981
2011-06-27,5.546000003814697,5.656000137329102,5.461999893188477,5.492000102996826,5.492000102996826,9047000,TSLA,-2.6747913,5.578000068664551,-8.166791439056396,0.0
2011-06-28,5.558000087738037,5.650000095367432,5.533999919891357,5.622000217437744,5.622000217437744,4446000,TSLA,-2.7495623,5.73799991607666,-8.371562480926514,0.0
2011-07-05,5.803999900817871,5.9039998054504395,5.742000102996826,5.828000068664551,5.828000068664551,4980000,TSLA,-2.5629592,5.599999904632568,0.0,8.3909592628479
2011-07-07,5.828000068664551,6.0,5.802000045776367,5.946000099182129,5.946000099182129,6639500,TSLA,-2.2579024,5.633999824523926,0.0,8.20390248298645
2011-07-22,5.739999771118164,5.9079999923706055,5.710000038146973,5.857999801635742,5.857999801635742,2917500,TSLA,-1.8374767,5.26200008392334,0.0,7.695476531982422
2011-07-25,5.802000045776367,5.849999904632568,5.688000202178955,5.697999954223633,5.697999954223633,3366500,TSLA,-1.8911654,5.245999813079834,0.0,7.5891653299331665
2011-08-02,5.73799991607666,5.840000152587891,5.453999996185303,5.4679999351501465,5.4679999351501465,7747000,TSLA,-1.7304436,4.5920000076293945,0.0,7.198443531990051
2011-08-10,5.0879998207092285,5.0879998207092285,4.72599983215332,4.763999938964844,4.763999938964844,7821000,TSLA,-2.93915,4.947999954223633,-7.703150033950806,0.0
2011-08-15,5.323999881744385,5.349999904632568,5.185999870300293,5.245999813079834,5.245999813079834,3693000,TSLA,-3.2982757,4.5879998207092285,0.0,8.544275522232056
2011-08-18,5.0,5.03000020980835,4.693999767303467,4.8520002365112305,4.8520002365112305,5283000,TSLA,-3.0365474,4.593999862670898,0.0,7.888547658920288
2011-08-19,4.771999835968018,4.843999862670898,4.400000095367432,4.460000038146973,4.460000038146973,6876500,TSLA,-2.9966052,4.576000213623047,-7.4566051959991455,0.0
2011-08-25,4.77400016784668,4.77400016784668,4.579999923706055,4.622000217437744,4.622000217437744,3399000,TSLA,-3.2473521,5.159999847412109,-7.869352340698242,0.0
2011-09-22,5.127999782562256,5.2220001220703125,4.97599983215332,5.125999927520752,5.125999927520752,3879000,TSLA,-2.2174144,5.5879998207092285,-7.343414306640625,0.0
2011-09-23,5.0980000495910645,5.323999881744385,5.070000171661377,5.276000022888184,5.276000022888184,5782000,TSLA,-2.2057989,5.610000133514404,-7.481798887252808,0.0
2011-09-28,5.199999809265137,5.300000190734863,4.9019999504089355,4.918000221252441,4.918000221252441,3616500,TSLA,-2.2926395,5.513999938964844,-7.210639715194702,0.0
2011-09-29,5.144000053405762,5.164000034332275,4.710000038146973,4.823999881744385,4.823999881744385,4648000,TSLA,-2.3400688,5.4679999351501465,-7.164068698883057,0.0
2011-10-04,4.6579999923706055,4.863999843597412,4.585999965667725,4.73199987411499,4.73199987411499,6001500,TSLA,-2.5302546,5.650000095367432,-7.262254476547241,0.0
2011-10-12,5.449999809265137,5.599999904632568,5.440000057220459,5.559999942779541,5.559999942779541,5617000,TSLA,-2.2511253,5.742000102996826,-7.8111252784729,0.0
2011-10-18,5.460000038146973,5.685999870300293,5.3420000076293945,5.668000221252441,5.668000221252441,4998500,TSLA,-1.9935617,6.368000030517578,-7.661561965942383,0.0
2011-10-21,5.480000019073486,5.659999847412109,5.4019999504089355,5.605999946594238,5.605999946594238,5713000,TSLA,-1.9505725,6.728000164031983,-7.556572437286377,0.0
2011-11-01,5.677999973297119,5.783999919891357,5.599999904632568,5.776000022888184,5.776000022888184,3176000,TSLA,-1.5342474,6.414000034332275,-7.310247421264648,0.0
2011-11-02,5.800000190734863,5.8520002365112305,5.650000095367432,5.742000102996826,5.742000102996826,4376500,TSLA,-1.517369,6.289999961853027,-7.259369134902954,0.0
2011-11-16,6.696000099182129,7.0,6.679999828338623,6.98799991607666,6.98799991607666,9166000,TSLA,-0.9433872,6.177999973297119,0.0,7.93138712644577
2011-12-01,6.513999938964844,6.797999858856201,6.395999908447266,6.519999980926514,6.519999980926514,5151000,TSLA,-0.71289176,5.553999900817871,0.0,7.232891738414764
2011-12-08,6.168000221252441,6.329999923706055,5.921999931335449,6.177999973297119,6.177999973297119,16529000,TSLA,-0.0003130542,5.711999893188477,0.0,6.178313027485274
2011-12-12,6.0879998207092285,6.124000072479248,6.004000186920166,6.081999778747559,6.081999778747559,3793500,TSLA,-0.49272195,5.541999816894531,0.0,6.574721723794937
2011-12-13,6.113999843597412,6.185999870300293,5.7820000648498535,5.889999866485596,5.889999866485596,4970500,TSLA,-0.79670846,5.423999786376953,0.0,6.686708331108093
2011-12-28,5.797999858856201,5.8480000495910645,5.607999801635742,5.702000141143799,5.702000141143799,2876000,TSLA,-1.8927076,5.320000171661377,0.0,7.594707727432251
2012-01-13,5.679999828338623,5.699999809265137,4.5279998779296875,4.558000087738037,4.558000087738037,27502000,TSLA,-1.3446957,6.360000133514404,-5.9026957750320435,0.0
2012-01-27,5.699999809265137,5.943999767303467,5.699999809265137,5.866000175476074,5.866000175476074,3742000,TSLA,-2.5383203,6.993999958038329,-8.404320478439331,0.0
2012-02-13,6.309999942779541,6.4120001792907715,6.179999828338623,6.297999858856201,6.297999858856201,5789500,TSLA,-0.6334102,6.622000217437744,-6.931410074234009,0.0
2012-02-16,6.699999809265137,6.9019999504089355,6.507999897003174,6.835999965667725,6.835999965667725,11098500,TSLA,-0.35371858,6.947999954223634,-7.189718544483185,0.0
2012-02-17,6.797999858856201,6.99399995803833,6.699999809265137,6.99399995803833,6.99399995803833,6883500,TSLA,-0.41062292,7.202000141143799,-7.404622882604599,0.0
2012-02-24,6.8460001945495605,6.9039998054504395,6.6539998054504395,6.75,6.75,4799500,TSLA,-0.70446897,7.064000129699706,-7.4544689655303955,0.0
2012-02-27,6.682000160217285,6.800000190734863,6.599999904632568,6.723999977111816,6.723999977111816,3030000,TSLA,-0.7684636,6.995999813079834,-7.4924635887146,0.0
2012-03-23,6.8520002365112305,6.926000118255615,6.630000114440918,6.815999984741211,6.815999984741211,5853000,TSLA,0.2324,6.449999809265137,0.0,6.5835999846458435
2012-03-26,7.118000030517578,7.618000030517578,7.007999897003174,7.480000019073486,7.480000019073486,15702500,TSLA,0.51374704,6.447999954223633,0.0,6.966252982616425
2012-03-28,7.556000232696533,7.688000202178955,7.421999931335449,7.570000171661377,7.570000171661377,4775000,TSLA,0.75625634,6.631999969482423,0.0,6.813743829727173
2012-04-03,7.340000152587891,7.693999767303467,7.334000110626221,7.6020002365112305,7.6020002365112305,5490500,TSLA,0.50090873,6.581999778747559,0.0,7.101091504096985
2012-04-12,6.754000186920166,6.895999908447266,6.584000110626221,6.688000202178955,6.688000202178955,5169500,TSLA,-0.76939785,6.492000102996826,0.0,7.457398056983948
2012-04-19,6.550000190734863,6.685999870300293,6.5,6.631999969482422,6.631999969482422,3874500,TSLA,-1.013202,6.5920000076293945,0.0,7.645201921463013
2012-04-26,6.5920000076293945,6.703999996185303,6.581999778747559,6.697999954223633,6.697999954223633,2126500,TSLA,-0.7390944,5.714000225067139,0.0,7.437094330787659
2012-05-04,6.464000225067139,6.492000102996826,6.28000020980835,6.366000175476074,6.366000175476074,6237500,TSLA,-0.09819726,5.961999893188477,0.0,6.464197434484959
2012-05-16,5.915999889373779,6.035999774932861,5.776000022888184,5.835999965667725,5.835999965667725,6285500,TSLA,-1.5457351,5.785999774932861,0.0,7.38173508644104
2012-05-21,5.515999794006348,5.8520002365112305,5.423999786376953,5.754000186920166,5.754000186920166,7376000,TSLA,-2.2260847,5.932000160217285,-7.9800848960876465,0.0
2012-06-19,6.4039998054504395,6.5320000648498535,6.300000190734863,6.418000221252441,6.418000221252441,4555500,TSLA,-1.0052004,6.302000045776367,0.0,7.423200607299805
2012-07-12,6.257999897003174,6.6020002365112305,6.159999847412109,6.539999961853027,6.539999961853027,5628500,TSLA,-1.2388362,5.21999979019165,0.0,7.778836131095886
2012-07-13,6.593999862670898,6.880000114440918,6.565999984741211,6.849999904632568,6.849999904632568,6524000,TSLA,-1.00325,5.453999996185303,0.0,7.853249907493591
2012-07-27,5.742000102996826,5.932000160217285,5.619999885559082,5.9019999504089355,5.9019999504089355,8365000,TSLA,-1.7608241,6.001999855041504,-7.662824034690857,0.0
2012-08-02,5.368000030517578,5.369999885559082,5.104000091552734,5.21999979019165,5.21999979019165,6525500,TSLA,-2.6883295,6.145999908447266,-7.908329248428345,0.0
2012-08-07,5.754000186920166,6.179999828338623,5.699999809265137,6.050000190734863,6.050000190734863,11936000,TSLA,-2.629083,5.73799991607666,0.0,8.679083108901978
2012-08-17,6.058000087738037,6.142000198364258,5.995999813079834,6.001999855041504,6.001999855041504,2541000,TSLA,-1.773392,5.473999977111816,0.0,7.7753918170928955
2012-08-20,6.03000020980835,6.078000068664551,5.820000171661377,5.9019999504089355,5.9019999504089355,5895500,TSLA,-1.5992091,5.559999942779541,0.0,7.501209020614624
2012-08-24,6.01200008392334,6.047999858856201,5.881999969482422,5.900000095367432,5.900000095367432,7147000,TSLA,-1.1997986,6.507999897003174,-7.099798679351807,0.0
2012-09-12,5.579999923706055,5.716000080108643,5.559999942779541,5.656000137329102,5.656000137329102,5726000,TSLA,-1.5474446,5.860000133514404,-7.203444719314575,0.0
2012-09-14,6.0,6.130000114440918,5.929999828338623,6.078000068664551,6.078000068664551,7683000,TSLA,-1.4230922,5.7779998779296875,0.0,7.501092314720154
2012-09-18,6.375999927520752,6.380000114440918,6.136000156402588,6.26800012588501,6.26800012588501,8942500,TSLA,-1.0253092,5.673999786376953,0.0,7.293309330940247
